tweet_id,favorites,retweet_count
892420643555336193,35811,7586
892177421306343426,30920,5622
891815181378084864,23269,3719
891689557279858688,39093,7766
891327558926688256,37341,8361
891087950875897856,18815,2806
890971913173991426,10934,1824
890729181411237888,60348,16956
890609185150312448,25899,3860
890240255349198849,29575,6603
890006608113172480,28467,6588
889880896479866881,25905,4481
889665388333682689,44594,8984
889638837579907072,25100,4031
889531135344209921,14067,2028
889278841981685760,23362,4796
888917238123831296,27009,4039
888804989199671297,23706,3806
888554962724278272,18304,3118
888078434458587136,20233,3122
887705289381826560,28110,4856
887517139158093824,43062,10598
887473957103951883,63804,16179
887343217045368832,31262,9434
887101392804085760,28439,5369
886983233522544640,32375,6888
886736880519319552,11107,2882
886680336477933568,20874,4021
886366144734445568,19607,2849
886267009285017600,111,4
886258384151887873,25983,5686
886054160059072513,0,100
885984800019947520,30246,6047
885528943205470208,33372,5749
885518971528720385,19006,3366
885311592912609280,0,16638
885167619883638784,20320,3925
884925521741709313,71501,16233
884876753390489601,25825,5018
884562892145688576,22578,4229
884441805382717440,25167,5123
884247878851493888,67335,18271
884162670584377345,18947,2692
883838122936631299,20291,3087
883482846933004288,42517,8888
883360690899218434,21059,3327
883117836046086144,34456,5982
882992080364220416,22171,3499
882762694511734784,26245,4394
882627270321602560,26002,5465
882268110199369728,41610,10428
882045870035918850,27234,4390
881906580714921986,22600,3064
881666595344535552,47058,9605
881633300179243008,115,7
881536004380872706,45941,14402
881268444196462592,21598,4758
880935762899988482,15892,2517
880872448815771648,19776,3448
880465832366813184,26448,5589
880221127280381952,25067,3755
880095782870896641,25663,3914
879862464715927552,20782,3137
879674319642796034,293,10
879492040517615616,21831,2874
879415818425184262,98302,40098
879376492567855104,15630,2823
879130579576475649,0,6139
879050749262655488,20955,4241
879008229531029506,17683,2418
878776093423087618,18014,3692
878604707211726852,28004,6386
878404777348136964,0,1160
878316110768087041,0,5992
878281511006478336,7195,1160
878057613040115712,39147,6139
877736472329191424,73713,17095
877611172832227328,0,72
877556246731214848,21111,3437
877316821321428993,25511,4692
877201837425926144,25223,5028
876838120628539392,19260,3020
876537666061221889,22065,4241
876484053909872640,17497,2138
876120275196170240,26064,4220
875747767867523072,23416,3872
875144289856114688,20443,4437
875097192612077568,25573,5498
875021211251597312,23764,4270
874680097055178752,25935,4198
874434818259525634,0,13159
874296783580663808,24286,3732
874057562936811520,21203,3613
874012996292530176,31932,9270
873580283840344065,22605,3573
873337748698140672,0,1439
873213775632977920,6679,1439
872967104147763200,25440,4917
872820683541237760,13765,3377
872620804844003328,19378,3312
872486979161796608,38103,8230
872122724285648897,32043,7363
871879754684805121,35140,9970
871762521631449091,18911,3175
871515927908634625,18892,3167
871166179821445120,0,5211
871102520638267392,19593,5019
871032628920680449,21295,3479
870804317367881728,31533,5656
870726314365509632,114,3
870656317836468226,11560,2401
870374049280663552,77907,24256
870308999962521604,20553,3794
870063196459192321,34255,7602
869772420881756160,39994,9285
869702957897576449,26500,5767
869596645499047938,14990,2858
869227993411051520,19182,3454
868880397819494401,61452,13229
868639477480148993,0,1899
868622495443632128,25074,4854
868552278524837888,9472,1899
867900495410671616,22805,3841
867774946302451713,31976,6752
867421006826221569,15151,2292
867072653475098625,0,110
867051520902168576,30369,7264
866720684873056260,18866,4420
866686824827068416,18156,3215
866450705531457537,115296,32509
866334964761202691,49384,13159
866094527597207552,0,7739
865718153858494464,24230,5195
865359393868664832,24992,4631
865006731092295680,26478,7131
864873206498414592,30498,8035
864279568663928832,13790,2797
864197398364647424,28331,8193
863907417377173506,19492,3838
863553081350529029,14449,3886
863471782782697472,0,2253
863432100342583297,22515,4865
863427515083354112,2086,89
863079547188785154,8319,1031
863062471531167744,7998,2253
862831371563274240,18184,4789
862722525377298433,16215,3293
862457590147678208,19362,4589
862096992088072192,70355,21557
861383897657036800,34226,9978
861288531465048066,16292,3856
861005113778896900,15855,3558
860981674716409858,0,2002
860924035999428608,0,742
860563773140209665,7115,2002
860524505164394496,22494,4961
860276583193509888,17473,3281
860184849394610176,15853,5467
860177593139703809,0,28932
859924526012018688,18661,3844
859851578198683649,14706,3290
859607811541651456,17757,1463
859196978902773760,85641,28277
859074603037188101,32227,12788
858860390427611136,0,7623
858843525470990336,14878,3265
858471635011153920,20545,4576
858107933456039936,15056,2722
857989990357356544,15372,2445
857746408056729600,32747,10026
857393404942143489,5632,1549
857263160327368704,19205,4267
857214891891077121,214,17
857062103051644929,0,158
857029823797047296,18054,3758
856543823941562368,15662,2726
856526610513747968,11383,1779
856330835276025856,0,633
856288084350160898,493,15
856282028240666624,26642,5962
855862651834028034,324,24
855860136149123072,4717,931
855857698524602368,11419,1997
855851453814013952,44066,17164
855818117272018944,25653,5158
855459453768019968,28669,7826
855245323840757760,0,5666
855138241867124737,0,43
854732716440526848,21934,5778
854482394044301312,28223,6533
854365224396361728,18233,4482
854120357044912130,30894,7130
854010172552949760,15698,3014
853760880890318849,27649,5500
853639147608842240,33514,9600
853299958564483072,14997,3419
852936405516943360,0,1911
